longitude,latitude,Yield,crop,season
305.75,-34.25,7.6819096,maize,major
18.75,-33.75,1.1346753,maize,major
19.25,-33.75,2.1087263,maize,major
19.75,-33.75,0.8363771,maize,major
22.25,-33.75,3.1184492,maize,major
24.25,-33.75,3.954126,maize,major
141.75,-33.75,1.4620385,maize,major
142.25,-33.75,0.80290824,maize,major
142.75,-33.75,0.65253234,maize,major
144.75,-33.75,0.8986863,maize,major
145.25,-33.75,1.4928493,maize,major
145.75,-33.75,0.7125275,maize,major
146.25,-33.75,1.1598418,maize,major
146.75,-33.75,0.91583276,maize,major
147.25,-33.75,0.6291329,maize,major
147.75,-33.75,0.97365355,maize,major
148.25,-33.75,4.65792,maize,major
148.75,-33.75,4.5051136,maize,major
149.25,-33.75,7.2194347,maize,major
149.75,-33.75,9.535354,maize,major
150.25,-33.75,11.954431,maize,major
150.75,-33.75,9.5790415,maize,major
288.75,-33.75,11.275991,maize,major
289.25,-33.75,13.094806,maize,major
293.75,-33.75,3.3056383,maize,major
294.25,-33.75,3.2437882,maize,major
294.75,-33.75,5.3526006,maize,major
295.25,-33.75,6.277795,maize,major
295.75,-33.75,6.721,maize,major
296.25,-33.75,6.863322,maize,major
296.75,-33.75,6.852636,maize,major
297.25,-33.75,8.506427,maize,major
297.75,-33.75,8.043649,maize,major
298.25,-33.75,7.56278,maize,major
298.75,-33.75,8.108035,maize,major
299.25,-33.75,8.5452,maize,major
299.75,-33.75,8.566123,maize,major
300.25,-33.75,8.078558,maize,major
300.75,-33.75,8.798168,maize,major
302.25,-33.75,7.718101,maize,major
302.75,-33.75,6.853758,maize,major
303.25,-33.75,6.9954205,maize,major
303.75,-33.75,6.957095,maize,major
304.25,-33.75,7.226252,maize,major
304.75,-33.75,7.662968,maize,major
305.25,-33.75,7.507725,maize,major
305.75,-33.75,7.5368204,maize,major
306.25,-33.75,7.780412,maize,major
18.75,-33.25,0.15683609,maize,major
19.25,-33.25,1.4774977,maize,major
24.75,-33.25,2.2228932,maize,major
25.25,-33.25,4.491278,maize,major
26.25,-33.25,5.404622,maize,major
141.75,-33.25,0.60925126,maize,major
142.25,-33.25,0.63707745,maize,major
145.25,-33.25,1.742552,maize,major
145.75,-33.25,1.8491812,maize,major
146.25,-33.25,1.5099078,maize,major
146.75,-33.25,1.1415849,maize,major
147.25,-33.25,1.994293,maize,major
147.75,-33.25,2.1381218,maize,major
148.25,-33.25,1.6223838,maize,major
148.75,-33.25,4.564002,maize,major
149.75,-33.25,7.1302595,maize,major
288.75,-33.25,12.619476,maize,major
289.25,-33.25,4.7923527,maize,major
293.75,-33.25,4.7709107,maize,major
294.25,-33.25,4.3714924,maize,major
294.75,-33.25,4.12563,maize,major
295.25,-33.25,6.1567965,maize,major
295.75,-33.25,7.181538,maize,major
296.25,-33.25,7.702013,maize,major
296.75,-33.25,7.477047,maize,major
297.25,-33.25,7.6686454,maize,major
297.75,-33.25,7.2417083,maize,major
298.25,-33.25,7.4165926,maize,major
298.75,-33.25,7.4393415,maize,major
299.25,-33.25,7.939257,maize,major
299.75,-33.25,7.5699267,maize,major
300.25,-33.25,9.209832,maize,major
300.75,-33.25,8.5564575,maize,major
301.25,-33.25,7.8507376,maize,major
302.25,-33.25,8.063202,maize,major
302.75,-33.25,7.0934033,maize,major
303.25,-33.25,7.6009183,maize,major
303.75,-33.25,7.5884852,maize,major
304.25,-33.25,7.2535944,maize,major
304.75,-33.25,8.281076,maize,major
305.75,-33.25,7.9337926,maize,major
306.25,-33.25,8.087833,maize,major
306.75,-33.25,3.1347394,maize,major
25.75,-32.75,4.2182856,maize,major
26.25,-32.75,3.8879647,maize,major
27.25,-32.75,6.328628,maize,major
27.75,-32.75,8.971365,maize,major
145.25,-32.75,1.5968719,maize,major
147.75,-32.75,2.010643,maize,major
148.25,-32.75,1.816509,maize,major
148.75,-32.75,3.7894053,maize,major
289.25,-32.75,7.151379,maize,major
293.75,-32.75,2.0366845,maize,major
294.25,-32.75,2.5895944,maize,major
294.75,-32.75,3.0974803,maize,major
295.25,-32.75,6.053496,maize,major
295.75,-32.75,6.515177,maize,major
296.25,-32.75,6.9985237,maize,major
296.75,-32.75,7.7023835,maize,major
297.25,-32.75,7.4052196,maize,major
297.75,-32.75,6.1074553,maize,major
298.25,-32.75,7.3866825,maize,major
298.75,-32.75,8.184292,maize,major
299.25,-32.75,7.7350183,maize,major
299.75,-32.75,7.3189883,maize,major
300.25,-32.75,9.0050535,maize,major
300.75,-32.75,8.34885,maize,major
301.25,-32.75,7.7841268,maize,major
301.75,-32.75,8.295387,maize,major
302.25,-32.75,8.532593,maize,major
302.75,-32.75,7.6411614,maize,major
303.25,-32.75,6.4440064,maize,major
304.25,-32.75,9.080712,maize,major
304.75,-32.75,8.82071,maize,major
305.25,-32.75,8.126806,maize,major
305.75,-32.75,6.459848,maize,major
306.25,-32.75,6.2826953,maize,major
307.25,-32.75,2.97434,maize,major
25.25,-32.25,3.921003,maize,major
25.75,-32.25,2.7981703,maize,major
26.25,-32.25,5.8248677,maize,major
27.25,-32.25,5.95428,maize,major
144.75,-32.25,0.7412402,maize,major
145.25,-32.25,2.0909662,maize,major
146.25,-32.25,2.298315,maize,major
150.25,-32.25,7.374402,maize,major
150.75,-32.25,9.382314,maize,major
151.25,-32.25,11.117599,maize,major
293.75,-32.25,5.1742296,maize,major
294.25,-32.25,4.2946906,maize,major
294.75,-32.25,5.608579,maize,major
295.25,-32.25,6.102525,maize,major
295.75,-32.25,6.263717,maize,major
296.25,-32.25,6.8735576,maize,major
296.75,-32.25,7.274579,maize,major
297.25,-32.25,6.312063,maize,major
297.75,-32.25,7.2102647,maize,major
298.25,-32.25,7.4205446,maize,major
298.75,-32.25,7.801839,maize,major
299.25,-32.25,7.538807,maize,major
299.75,-32.25,7.469918,maize,major
300.25,-32.25,7.8935165,maize,major
300.75,-32.25,7.839569,maize,major
301.25,-32.25,7.8657317,maize,major
301.75,-32.25,8.173502,maize,major
302.25,-32.25,9.050098,maize,major
302.75,-32.25,10.097496,maize,major
304.25,-32.25,8.104422,maize,major
304.75,-32.25,7.9075723,maize,major
305.25,-32.25,7.6244764,maize,major
305.75,-32.25,4.7848253,maize,major
306.25,-32.25,4.336464,maize,major
306.75,-32.25,3.915997,maize,major
307.25,-32.25,3.172309,maize,major
25.25,-31.75,1.239418,maize,major
25.75,-31.75,1.9476597,maize,major
26.75,-31.75,3.456234,maize,major
27.75,-31.75,7.2072206,maize,major
145.25,-31.75,0.94028735,maize,major
145.75,-31.75,1.1159458,maize,major
146.25,-31.75,2.6860805,maize,major
149.75,-31.75,8.227208,maize,major
150.25,-31.75,9.577434,maize,major
150.75,-31.75,10.5546665,maize,major
151.25,-31.75,12.484275,maize,major
288.75,-31.75,2.7854307,maize,major
294.25,-31.75,4.1156864,maize,major
294.75,-31.75,4.605569,maize,major
295.25,-31.75,5.65566,maize,major
295.75,-31.75,5.3933907,maize,major
296.25,-31.75,5.6555924,maize,major
296.75,-31.75,7.0768237,maize,major
297.25,-31.75,6.622955,maize,major
297.75,-31.75,6.921631,maize,major
298.25,-31.75,7.445358,maize,major
298.75,-31.75,7.539317,maize,major
299.25,-31.75,7.338665,maize,major
299.75,-31.75,7.3700395,maize,major
300.25,-31.75,8.448805,maize,major
300.75,-31.75,8.585018,maize,major
301.25,-31.75,8.128703,maize,major
302.25,-31.75,8.817564,maize,major
302.75,-31.75,6.7100806,maize,major
303.75,-31.75,8.959461,maize,major
304.25,-31.75,8.938191,maize,major
304.75,-31.75,9.066587,maize,major
305.25,-31.75,7.313499,maize,major
306.25,-31.75,3.9921832,maize,major
306.75,-31.75,4.7379274,maize,major
307.25,-31.75,3.8344107,maize,major
307.75,-31.75,4.0724955,maize,major
27.75,-31.25,6.407474,maize,major
28.25,-31.25,8.098148,maize,major
145.25,-31.25,3.0358717,maize,major
145.75,-31.25,1.9538054,maize,major
146.25,-31.25,2.2700055,maize,major
149.75,-31.25,5.0839367,maize,major
150.25,-31.25,4.481426,maize,major
150.75,-31.25,5.390675,maize,major
151.25,-31.25,12.075087,maize,major
151.75,-31.25,13.8319025,maize,major
289.25,-31.25,0.9418161,maize,major
294.75,-31.25,5.184863,maize,major
295.25,-31.25,4.224204,maize,major
295.75,-31.25,6.02608,maize,major
296.25,-31.25,5.2469406,maize,major
296.75,-31.25,6.156891,maize,major
297.25,-31.25,6.1517735,maize,major
297.75,-31.25,7.3071947,maize,major
298.25,-31.25,7.7299876,maize,major
298.75,-31.25,7.57083,maize,major
299.25,-31.25,7.4714937,maize,major
299.75,-31.25,7.4698076,maize,major
300.25,-31.25,8.869353,maize,major
300.75,-31.25,9.478171,maize,major
301.25,-31.25,8.440144,maize,major
301.75,-31.25,8.5622,maize,major
302.75,-31.25,7.561776,maize,major
303.75,-31.25,8.436106,maize,major
304.25,-31.25,8.564873,maize,major
304.75,-31.25,4.186418,maize,major
305.25,-31.25,3.7174816,maize,major
305.75,-31.25,3.458621,maize,major
306.25,-31.25,3.539289,maize,major
306.75,-31.25,4.678607,maize,major
307.25,-31.25,4.7038274,maize,major
307.75,-31.25,4.2967806,maize,major
308.25,-31.25,3.1580486,maize,major
25.25,-30.75,0.78034335,maize,major
28.25,-30.75,8.336631,maize,major
28.75,-30.75,6.581592,maize,major
29.25,-30.75,5.917302,maize,major
29.75,-30.75,9.573387,maize,major
148.75,-30.75,5.912289,maize,major
149.25,-30.75,5.073039,maize,major
149.75,-30.75,5.351752,maize,major
150.25,-30.75,3.287394,maize,major
150.75,-30.75,6.1018095,maize,major
151.25,-30.75,7.243224,maize,major
151.75,-30.75,9.806666,maize,major
288.75,-30.75,0.33714688,maize,major
294.75,-30.75,4.739245,maize,major
295.25,-30.75,4.918679,maize,major
295.75,-30.75,7.3194556,maize,major
296.25,-30.75,6.008216,maize,major
296.75,-30.75,5.681532,maize,major
297.25,-30.75,6.96137,maize,major
297.75,-30.75,6.990579,maize,major
298.25,-30.75,7.5469327,maize,major
298.75,-30.75,7.5144653,maize,major
299.25,-30.75,7.7252893,maize,major
299.75,-30.75,7.7475557,maize,major
300.25,-30.75,9.317956,maize,major
300.75,-30.75,9.442746,maize,major
301.25,-30.75,8.729431,maize,major
301.75,-30.75,7.885673,maize,major
303.25,-30.75,6.1668525,maize,major
304.75,-30.75,3.7307987,maize,major
305.25,-30.75,3.4401574,maize,major
305.75,-30.75,4.2714524,maize,major
306.25,-30.75,4.2432084,maize,major
306.75,-30.75,4.770334,maize,major
307.25,-30.75,5.202697,maize,major
307.75,-30.75,4.6031284,maize,major
308.25,-30.75,4.4728227,maize,major
308.75,-30.75,3.2058618,maize,major
26.75,-30.25,2.419641,maize,major
28.75,-30.25,3.4120045,maize,major
29.25,-30.25,8.307602,maize,major
29.75,-30.25,9.972596,maize,major
30.25,-30.25,12.637398,maize,major
149.25,-30.25,5.1043663,maize,major
149.75,-30.25,4.2268915,maize,major
150.25,-30.25,7.786109,maize,major
150.75,-30.25,7.947322,maize,major
151.25,-30.25,9.394353,maize,major
151.75,-30.25,11.963311,maize,major
294.75,-30.25,2.514566,maize,major
295.25,-30.25,4.5802727,maize,major
295.75,-30.25,7.26061,maize,major
296.25,-30.25,6.189094,maize,major
296.75,-30.25,5.553893,maize,major
297.25,-30.25,2.8232167,maize,major
297.75,-30.25,5.050179,maize,major
298.25,-30.25,7.1324744,maize,major
298.75,-30.25,6.567151,maize,major
299.25,-30.25,7.4894857,maize,major
299.75,-30.25,7.9677444,maize,major
300.25,-30.25,7.6279683,maize,major
300.75,-30.25,9.659451,maize,major
301.25,-30.25,8.409103,maize,major
301.75,-30.25,8.244526,maize,major
303.25,-30.25,3.8655624,maize,major
303.75,-30.25,4.3999763,maize,major
304.25,-30.25,3.7714171,maize,major
304.75,-30.25,3.548399,maize,major
305.25,-30.25,3.349959,maize,major
305.75,-30.25,3.4429264,maize,major
306.25,-30.25,3.8995528,maize,major
306.75,-30.25,4.17867,maize,major
307.25,-30.25,4.0764337,maize,major
307.75,-30.25,4.903926,maize,major
308.25,-30.25,5.016131,maize,major
308.75,-30.25,4.316157,maize,major
309.25,-30.25,3.49375,maize,major
22.75,-29.75,0.91383433,maize,major
24.25,-29.75,1.0759618,maize,major
24.75,-29.75,0.78041077,maize,major
25.75,-29.75,0.0,maize,major
26.25,-29.75,1.3662413,maize,major
26.75,-29.75,2.0173883,maize,major
29.25,-29.75,9.311121,maize,major
29.75,-29.75,11.192875,maize,major
30.25,-29.75,12.017597,maize,major
30.75,-29.75,12.561045,maize,major
145.25,-29.75,1.7610445,maize,major
148.75,-29.75,1.0789828,maize,major
149.25,-29.75,1.4582255,maize,major
149.75,-29.75,3.0354111,maize,major
150.25,-29.75,6.5417876,maize,major
150.75,-29.75,6.0949984,maize,major
151.25,-29.75,10.227396,maize,major
151.75,-29.75,13.969213,maize,major
294.75,-29.75,1.8601002,maize,major
295.25,-29.75,3.2008996,maize,major
